CODIGO_ICCS;TIPO;EDAD;GENERO;NIVEL DE INSTRUCCIÓN;NACIONALIDAD;ETNIA;DELITO ;TIPO DE ARMA;FECHA;HORA;PROVINCIA;CANTON;LATITUD;LONGITUD
1010201;APREHENDIDO;24;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;17:20:00.0000000;EL ORO;SANTA ROSA;-344.482.189;-79.961.382.151
1010201;APREHENDIDO;23;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;08:00:00.0000000;GUAYAS;EL TRIUNFO;-23.253.679;-794.089.431
1010201;APREHENDIDO;24;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;03:45:00.0000000;GUAYAS;GUAYAQUIL;-22.001.043;-80.091.244
1010201;APREHENDIDO;30;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;17:20:00.0000000;EL ORO;SANTA ROSA;-3.444.816.536;-79.961.398.244
1010201;APREHENDIDO;21;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;17:20:00.0000000;EL ORO;SANTA ROSA;-344.482.189;-79.961.392.879
1010201;APREHENDIDO;42;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;02:45:00.0000000;GUAYAS;DURAN;-21.617.842;-797.932.301
1010201;APREHENDIDO;50;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;01:15:00.0000000;GUAYAS;GUAYAQUIL;-22.553.043;-799.031.445
1010201;DETENIDO;33;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;13:00:00.0000000;GUAYAS;GUAYAQUIL;-20.959.307;-799.351.055
1010201;APREHENDIDO;30;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;14/1/2023;05:30:00.0000000;GUAYAS;GUAYAQUIL;-22.297.047;-799.096.793
1010201;APREHENDIDO;19;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;15/1/2023;08:25:00.0000000;GUAYAS;GUAYAQUIL;-2.267.157.692;-79.891.397.953
1010201;APREHENDIDO;28;HOMBRE;EDUCACIÓN GENERAL BÁSICA;ECUATORIANO;INDÍGENA;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;15/1/2023;17:30:00.0000000;SUCUMBIOS;SHUSHUFINDI;-0.186289817;-76.647.251.847
1010201;DETENIDO;15;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;15/1/2023;22:00:00.0000000;MANABI;PEDERNALES;-0.026336;-80.067.909
1010201;APREHENDIDO;19;HOMBRE;NO APLICA;VENEZOLANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);17/1/2023;22:00:00.0000000;NAPO;TENA;-10.002.372;-77.814.165.492
1010201;DETENIDO;25;HOMBRE;SE DESCONOCE;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;17/1/2023;14:43:00.0000000;GUAYAS;GUAYAQUIL;-20.550.814;-799.456.817
1010201;APREHENDIDO;24;HOMBRE;SE DESCONOCE;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS DE FUEGO;17/1/2023;01:28:00.0000000;ESMERALDAS;ESMERALDAS;0.921151171;-79.668.790.698
1010201;APREHENDIDO;20;HOMBRE;NO APLICA;VENEZOLANO;SE DESCONOCE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;ARMAS BLANCAS (OBJETO CORTANTE O PUNZANTE);17/1/2023;22:00:00.0000000;NAPO;TENA;-1.000.159.964;-77.814.171.741
1010201;DETENIDO;23;HOMBRE;NO APLICA;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;18/1/2023;13:00:00.0000000;GUAYAS;GUAYAQUIL;-2.051.950.849;-79.944.065.809
1010101;APREHENDIDO;25;HOMBRE;NO APLICA;ECUATORIANO;MESTIZO/A;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;18/1/2023;01:30:00.0000000;AZUAY;CUENCA;-2.929.274.128;-79.007.234.573
1010101;APREHENDIDO;29;HOMBRE;NO APLICA;ECUATORIANO;AFROECUATORIANO/A  AFRODESCENDIENTE;DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA;NINGUNA;18/1/2023;01:30:00.0000000;AZUAY;CUENCA;-2.929.295.558;-79.007.320.404
