1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	17:30:00	HOMBRE	ECUATORIANO	MULATO/A	ESMERALDAS	ESMERALDAS	0.932393521	-79.661934972
1010202	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	13:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	DURAN	-2.182514765	-79.838800571
1010202	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-06	13:30:00	HOMBRE	ECUATORIANO	MESTIZO/A	GUAYAS	DURAN	-2.182514765	-79.838800571
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	23:35:00	HOMBRE	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.32485216	-78.462306261
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	23:35:00	HOMBRE	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.32487982	-78.462338448
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	23:35:00	HOMBRE	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.324751076	-78.462381363
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	23:35:00	MUJER	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.32487982	-78.462209702
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	23:35:00	HOMBRE	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.324815448	-78.462231159
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	23:35:00	HOMBRE	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.324600875	-78.462338448
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	11:35:00	MUJER	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.324836906	-78.46231699
1010201	APREHENDIDO	DELITOS CONTRA LA INVIOLABILIDAD DE LA VIDA	NINGUNA	2023-01-07	23:35:00	HOMBRE	ECUATORIANO	MESTIZO/A	PICHINCHA	RUMIÐAHUI	-0.32496565	-78.462338448
